,Name,Score,Studios,Source,Ranked,Popularity,Completed
12494,Nanatsu no Taizai: Imashime no Fukkatsu,7.84,A-1 Pictures,Manga,762,115,592000
12495,Nana Maru San Batsu,6.7,TMS Entertainment,Manga,4908,1923,32204
12496,"Onihei: Sono Otoko, Heizou Hasegawa",6.29,Studio M2,Novel,6916,8109,535
12497,Natsume Yuujinchou Roku,8.65,Shuka,Manga,53,1099,64091
12499,"""Parade"" de Satie",5.44,"Yamamura Animation, Inc.",Original,9826,11361,453
12500,Made in Abyss,8.74,Kinema Citrus,Web manga,34,95,550412
12503,Guomin Laogong Dai Huijia,6.1,B.CMAY PICTURES,Novel,7803,4133,4841
12504,UQ Holder!: Mahou Sensei Negima! 2 (OVA),7.21,J.C.Staff,Manga,2723,3788,8855
12505,Lostorage Conflated WIXOSS,7.1,J.C.Staff,Card game,3202,3252,10405
12506,Answer (2016),7.31,Shaft,Manga,2295,5885,5037
12507,Saiki Kusuo no Ψ-nan 2,8.48,"J.C.Staff, Egg Firm",Manga,113,388,251764
12508,Garo: Honoo no Kokuin - Yurugaro,5.53,DLE,Original,9599,9495,434
12509,Teekyuu 8 Specials,6.05,Millepensee,Manga,8024,8502,1208
12510,Usakame Special,5.54,Millepensee,Manga,9595,9026,1076
12511,Blend S,7.36,A-1 Pictures,4-koma manga,2053,286,306162
12512,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,6.58,feel.,Visual novel,5485,1401,32961
12514,Bakuon!! no Kobeya,6.13,TMS Entertainment,Manga,7677,8255,1204
12516,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.07,Studio Deen,Light novel,453,606,200972
12524,Ballroom e Youkoso,8.21,Production I.G,Manga,296,676,116967
12527,Shingeki no Bahamut: Genesis - Short Story,7.13,MAPPA,Game,3090,3565,13093
12529,Brave Witches: Petersburg Daisenryaku,7.02,SILVER LINK.,Original,3556,5303,3990
12530,3-gatsu no Lion Recap,6.71,Shaft,Manga,4825,4454,9951
12531,Soukyuu no Fafner: Dead Aggressor - The Beyond,7.14,"Production I.G, Xebec, I.Gzwei",Original,3042,6205,731
12537,Nekopara OVA,6.98,Felix Film,Visual novel,3715,1874,41962
12540,Fate/Apocrypha,7.16,A-1 Pictures,Light novel,2937,402,194061
12549,Chou Yuu Sekai: Being the Reality,6.22,"Asahi Production, Success Corp.",Web manga,7243,4259,3155
12576,Kujira no Kora wa Sajou ni Utau,7.2,J.C.Staff,Manga,2774,899,89167
12577,Crocotires Traction AAA,5.36,Polygon Pictures,Original,10025,13165,231
